Customer Avg Unhandled Request,Customer Avg Rephrase,Alternative Utterance History Published Time
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
0.0,0.0,2023-04-15
